snapshot_utc,market_id,symbol,role,lltv,oracle_address,oracle_type,supply_usd,borrow_usd,liquidity_usd,utilization,native_supply_apy,target_usd,target_weight,post_allocation_utilization,projected_14d_apr_no_borrower_response,marginal_post_impact_apr,vault_post_allocation_ownership,stressed_withdrawable_usd,exit_coverage,hard_cap_usd,rationale
2026-08-01T23:36:20+00:00,0x64d65c9a2d91c36d56fbc42d69e979335320169b3df63bf92789e2c8883fcc64,cbBTC,core,0.86,0xA6D6950c9F177F1De7f7757FB33539e3Ec60182a,ChainlinkOracleV2,309651183.21360147,266998590.78020567,42652592.43339579,0.8622560004753043,0.034185029462309884,48250000.0,0.4825,0.7460120371294118,0.022320031885710117,0.014876746517623775,0.13481374821609232,42652592.4333958,0.8839915530237472,50000000.0,deepest reviewed USDC market; ChainlinkOracleV2 BTC/USD feed
2026-08-01T23:36:20+00:00,0x3a85e619751152991742810df6ec69ce473daef99e28a64ab2340d7b7ccfee49,WBTC,core,0.86,0xDddd770BADd886dF3864029e4B377B5F6a2B6b83,ChainlinkOracle,123775425.8034375,106852066.66143079,16923359.142006703,0.8632736746235721,0.03420162431361129,19250000.0,0.1925,0.7470844156638244,0.02236388861053332,0.014870841464259661,0.13459145387517066,16923359.14200671,0.8791355398445044,33846718.28401342,deep reviewed BTC venue; independent wrapper and Chainlink route
2026-08-01T23:36:20+00:00,0xb323495f7e4148be5643a4ea4a8221eef163e4bccfdedc2a6f4696baacbc86cc,wstETH,core,0.86,0x48F7E36EB6B826B2dF4B2E630B62Cd25e89E40e2,ChainlinkOracle,23429486.18977331,20250942.14874953,3178544.0410237815,0.864335734241958,0.0341909582260355,4750000.0,0.0475,0.7186412843857619,0.02029034459732293,0.011719617943779681,0.16856233531056483,3178544.0410237797,0.669167166531322,6357088.082047559,largest reviewed LST venue; composed market-price oracle
2026-08-01T23:36:20+00:00,0xd570c19c0dc0fbe4ab7faf4a37c4150e1c141c8aada8ca3e1b4b6c1b712af93d,stUSDS,satellite,0.86,0xba3D2Dc1670763c6729CC923A922C7513C0f9DD0,ChainlinkOracleV2,18640748.60936072,14280162.33890703,4360586.27045369,0.7660723631955447,0.039653866971994245,4250000.0,0.0425,0.6238399006779288,0.02075438415919532,0.011656092860401842,0.18566452642191206,4250000.0,1.0,8721172.540907383,Sky risk-capital token; ERC-4626 conversion plus market-price feeds
2026-08-01T23:36:20+00:00,0x7e585a933ffe8443c371b4f8cfeb4430f5f6a14c2f32a898c26662c67a1cb8b8,wstETH,satellite,0.86,0xe087AD7FE989cF63F8383579D160a20Ee7e69F9F,ChainlinkOracleV2,9060507.0962211,7807769.64764227,1252737.4485788313,0.8617364971656702,0.034163480599553174,1750000.0,0.0175,0.722238982699668,0.020629248985736526,0.011765857156944403,0.16187954777919036,1252737.4485788308,0.7158499706164747,2505474.8971576616,second real wstETH venue with a distinct ChainlinkOracleV2 route
2026-08-01T23:36:20+00:00,0x34377fc4f617c51818e92c79df31ff270c6a91bc94ad32e367fdf59b9f4ac5dd,weETH,satellite,0.77,0xa3A7A3ceFee206f9d7Fe00eC3C83324ED4228411,ChainlinkOracleV2,6985499.944661576,6054600.576926648,930899.3677349288,0.8667383329597853,0.039394712457948074,1500000.0,0.015,0.7135231414073294,0.022810435280429878,0.012071582693914154,0.17677214186344845,930899.3677349286,0.6205995784899524,1861798.7354698572,77% LLTV restaking venue; market-price feeds and conservative sizing
2026-08-01T23:36:20+00:00,0x94b823e6bd8ea533b4e33fbc307faea0b307301bc48763acc4d4aa4def7636cd,WETH,satellite,0.86,0x0F948CBa8231Db7898ef36A4212581Ad7b1B4580,ChainlinkOracleV2,4377107.677778906,3775639.792770933,601467.8850079731,0.8625878252752561,0.03416414265136943,1000000.0,0.01,0.7021692737108283,0.019241026496033972,0.009410689189593308,0.1859735865310149,601467.8850079733,0.6014678850079733,1202935.7700159466,plain ETH collateral with ChainlinkOracleV2 pricing; limited capacity
2026-08-01T23:36:20+00:00,0xe83d72fa5b00dcd46d9e0e860d95aa540d5ec106da5833108a9f826f21f36f52,AA_FalconXUSDC,credit satellite,0.77,0x52eA2C12734B5bB61e1edf52Bb0f01D9206493Fc,ChainlinkOracleV2,49169718.03001316,44309156.99790712,4860561.032106037,0.9011472665118975,0.05550960937480126,5000000.0,0.05,0.8179691275734032,0.04053638414556343,0.030507530078799347,0.09230249264413211,4860561.032106042,0.9721122064212084,5000000.0,77% LLTV FalconX Credit Vault LP token; separate 5% counterparty cap
2026-08-01T23:36:20+00:00,0x1e9d614631a7df0ec07fb05b2c8cb2491575fd1a63a33bf187a6afb295a4fc64,PT-reUSD-10DEC2026,term satellite,0.915,0x217d6DdCDB95112C51657F6270e8C079CFDB51f0,ChainlinkOracleV2,43406994.01410581,38722034.38156752,4684959.632538295,0.8920690147072649,0.0720747454296476,9250000.0,0.0925,0.7353635562864569,0.042053314615451025,0.02365627146272501,0.17566517369985268,4684959.632538289,0.5064821224365718,9369919.265076578,fixed-maturity reUSD claim; 91.5% LLTV and reinsurance family capped at 10%
2026-08-01T23:36:20+00:00,0x24852d8d7464402ddcd717415e009d42bf7427d6a8893487f83c75ee0f4a0ea6,dCOMP,enhanced satellite,0.625,0x0798dE3DDb22c289A653c020863AaA7ef33C05d7,ChainlinkOracleV2,13728714.062100213,10824022.825796464,2904691.2363037495,0.7884221913891772,0.08868711577454479,5000000.0,0.05,0.5779373207314946,0.03639048274154765,0.014434517822533265,0.26696974407431934,2904691.2363037486,0.5809382472607497,5000000.0,one-for-one COMP wrapper; 62.5% LLTV and separate 5% governance-token cap
